				84.58108	126.71892	189.73981	239.87113	277.65227	351.65667	373.01557	398.46369	418.47809	457.92282	503.87612	552.2216	599.74212	614.42448	678.89253	737.43285	740.05135	761.1314	772.7144	780.73352	805.20648	847.0808	856.72518	868.16577	879.84154	898.07124	900.38502	922.05197	1011.07228	1046.27958	1089.5629	1115.20859	1150.69353	1179.96419	1192.90249	1248.22654	1276.46573	1301.17766	1335.68246	1389.72634	1419.29898	1478.55492	1493.37839	1579.4848	1598.94301	1655.01571	1797.30168	3163.40522	3175.8833	3214.48126	3215.4004	3246.46976	3276.43639
x	O	1	16	0	0	0	-0.26585	0	0	-0.44941	-0.0941	0	0	0.09987	-0.37073	0	0.12548	0	-0.1946	0	-0.023	0	0	-0.15363	0	-0.27515	0	0	-0.02188	0	-0.15458	0	-0.00983	-0.16391	-0.04934	0.02358	-0.03897	0.03949	0.03137	-0.08063	-0.00578	-0.0088	-0.01625	0.09027	0.0429	-0.07842	0.02261	-0.01269	0.09945	0.47786	-0.00052	0.00036	0.00223	0.00008	0.00017	0.00004
y	O	1	16	0	0	0	-0.44846	0	0	-0.07207	0.24379	0	0	0.44327	0.04487	0	0.29728	0	0.21847	0	-0.01616	0	0	0.04192	0	0.08068	0	0	0.00015	0	0.02513	0	0.00324	0.00077	-0.00705	0.00407	0.00554	0.03776	0.00996	-0.01967	-0.03716	0.00557	-0.02164	-0.0361	-0.05668	0.04744	-0.01309	-0.01118	-0.0813	-0.31498	0.00056	-0.00021	-0.00209	-0.00011	-0.00011	-0.00002
z	O	1	16	-0.61756	-0.22244	0.26654	0	0.13193	-0.0999	0	0	0.14816	-0.04459	0	0	0.01367	0	-0.15554	0	0.06907	0	-0.12508	-0.01715	0	0.14967	0	-0.00967	-0.0188	0	-0.02555	0	-0.00276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x	C	2	12	0	0	0	-0.07713	0	0	-0.27983	-0.24672	0	0	-0.27912	-0.16022	0	-0.00667	0	-0.23315	0	-0.00544	0	0	-0.13148	0	-0.04215	0	0	-0.08835	0	-0.13873	0	-0.03189	0.30504	-0.09136	-0.12565	-0.05805	-0.19904	-0.03988	0.12937	0.07339	-0.00377	0.03908	-0.10388	0.0292	0.07937	-0.02543	0.07004	-0.05005	-0.61039	0.00049	-0.00068	-0.00473	-0.00093	-0.00022	-0.00005
y	C	2	12	0	0	0	-0.12936	0	0	0.09612	-0.06984	0	0	-0.20919	0.21539	0	0.05456	0	0.02441	0	0.00278	0	0	0.01381	0	0.20373	0	0	-0.05937	0	0.00904	0	-0.02986	0.45724	-0.05984	-0.15343	-0.056	-0.29745	-0.08247	0.22427	0.1201	-0.00427	0.06494	-0.11214	0.08549	0.04248	-0.00528	0.03191	0.05944	0.50585	-0.00148	0.00041	0.00813	0.00036	0.00015	-0.00001
z	C	2	12	-0.13381	0.04471	-0.09321	0	-0.12185	0.10841	0	0	-0.2473	0.10964	0	0	-0.03815	0	0.46527	0	-0.23422	0	0.43824	0.06417	0	-0.47746	0	0.03012	0.05495	0	0.07376	0	0.02642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x	O	3	16	0	0	0	-0.16341	0	0	-0.19309	-0.09019	0	0	-0.13745	-0.02364	0	-0.29734	0	0.03171	0	0.04387	0	0	0.25079	0	0.14113	0	0	0.22987	0	0.50786	0	0.06642	-0.15842	0.37587	0.16365	0.22552	0.01151	-0.10716	0.16181	0.12084	-0.00201	0.09614	-0.05785	0.05011	-0.01882	0.01143	-0.07756	-0.03174	-0.01236	-0.00024	0.00035	0.00087	-0.00054	0.00011	0.0001
y	O	3	16	0	0	0	0.15428	0	0	0.13051	-0.32446	0	0	-0.39657	-0.04602	0	0.32118	0	0.28383	0	-0.24305	0	0	0.13907	0	-0.37831	0	0	0.19221	0	0.17801	0	-0.02717	-0.13457	-0.07271	0.0097	-0.08279	0.01566	0.02884	-0.19909	-0.0774	-0.04688	-0.07852	0.0227	-0.03066	-0.04814	0.02568	-0.04496	0.02119	-0.05775	0.00003	-0.00035	0.00073	-0.00059	-0.00002	-0.00003
z	O	3	16	0.29475	-0.18593	-0.64977	0	0.08856	0.32499	0	0	0.15449	-0.24526	0	0	0.03512	0	-0.01874	0	0.09565	0	-0.16891	-0.0173	0	0.05993	0	-0.01746	0.05784	0	-0.01196	0	-0.01238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
