1	-0.5116452D-03
1	0.6048245D-02
1	-0.1529778D-06
12	0.3883180D-02
12	-0.1598236D-01
12	-0.3237502D-06
12	0.1136582D+00
12	-0.7082573D-02
12	0.1065626D-06
12	-0.1136303D+00
12	-0.7023030D-02
12	-0.1199431D-06
12	-0.3940876D-02
12	-0.1597959D-01
12	0.5265304D-06
12	0.2782057D-04
12	-0.4334345D-01
12	0.1554579D-06
12	0.3039562D-04
12	-0.4334339D-01
12	0.3092840D-07
12	-0.3941879D-02
12	-0.1598129D-01
12	-0.6601179D-06
12	-0.1136298D+00
12	-0.7025302D-02
12	0.1959314D-06
12	0.1136611D+00
12	-0.7081777D-02
12	-0.5370628D-09
12	0.3882054D-02
12	-0.1598173D-01
12	-0.8829267D-06
1	-0.6524978D-02
1	0.6916387D-02
1	0.1690439D-06
1	0.6525610D-02
1	0.6917159D-02
1	-0.7210600D-07
1	0.5109997D-03
1	0.6048122D-02
1	-0.4045932D-06
1	-0.5116877D-03
1	0.6049502D-02
1	-0.1750265D-06
1	-0.6524976D-02
1	0.6916480D-02
1	0.1991990D-06
1	0.6525642D-02
1	0.6917199D-02
1	0.1354748D-06
1	0.5109866D-03
1	0.6048743D-02
1	-0.2239460D-06
