8	1	3	1	0	0	0	0	0	0	0	1	1891.639302	14
7	1	5	0	0	0	0	0	0	0	0	1	1674.6311	14
8	1	3	1	0	0	0	0	0	1	0	0	1233.118962	14
5	0	5	2	1	0	0	0	0	0	0	1	1186.635898	14
8	1	4	0	0	0	0	0	0	0	0	1	1178.889153	14
8	1	3	1	0	0	0	0	0	0	1	0	1175.2939	14
6	0	4	2	1	0	0	0	0	0	0	1	1113.807147	14
6	0	5	1	1	0	0	0	0	0	0	1	1111.084431	14
7	1	5	0	0	0	0	0	0	1	0	0	1104.894409	14
7	1	5	0	0	0	0	0	0	0	1	0	1043.018052	14
5	0	6	1	1	0	0	0	0	0	0	1	986.4463385	14
9	0	3	0	0	0	0	0	0	1	0	0	950.5527847	13
8	1	3	0	1	0	0	0	0	1	0	0	910.9502915	14
4	0	6	2	1	0	0	0	0	0	0	1	877.9351199	14
6	2	4	2	0	0	0	0	0	0	0	1	869.2307207	15
6	2	5	1	0	0	0	0	0	0	0	1	867.1080353	15
5	0	4	2	2	0	0	0	0	0	0	1	807.9859426	14
5	0	5	1	2	0	0	0	0	0	0	1	806.0077614	14
5	0	4	3	1	0	0	0	0	0	0	1	793.0278327	14
5	0	5	2	1	0	0	0	0	1	0	0	787.7066476	14
8	1	4	0	0	0	0	0	0	1	0	0	784.0891546	14
5	2	6	1	0	0	0	0	0	0	0	1	769.8379088	15
6	0	5	1	1	0	0	0	0	1	0	0	763.6483201	14
7	2	3	1	1	0	0	0	0	0	0	1	759.1032663	15
6	0	4	1	2	0	0	0	0	0	0	1	756.5385082	14
6	0	4	2	1	0	0	0	0	1	0	0	745.3084221	14
5	0	5	2	1	0	0	0	0	0	1	0	739.9971336	14
8	1	4	0	0	0	0	0	0	0	1	0	735.4587925	14
5	0	6	2	0	0	0	0	0	0	0	1	727.0117375	14
7	0	3	2	1	0	0	0	0	0	0	1	716.878683	14
9	1	2	1	0	0	0	0	0	0	0	1	710.2168139	14
6	0	5	1	1	0	0	0	0	0	1	0	697.8567436	14
7	2	4	1	0	0	0	0	0	0	0	1	697.6201933	15
6	0	4	2	1	0	0	0	0	0	1	0	695.7201079	14
5	0	6	1	1	0	0	0	0	1	0	0	672.6554512	14
4	0	7	1	1	0	0	0	0	0	0	1	625.5640503	14
5	0	6	1	1	0	0	0	0	0	1	0	618.5627843	14
6	0	3	2	2	0	0	0	0	0	0	1	606.7164541	14
5	0	5	1	2	0	0	0	0	1	0	0	597.6795849	14
4	0	6	1	2	0	0	0	0	0	0	1	596.3275411	14
6	0	3	3	1	0	0	0	0	0	0	1	595.4853788	14
9	1	3	0	0	0	0	0	0	0	0	1	590.1524381	14
6	2	5	0	1	0	0	0	0	0	0	1	588.0158559	15
5	0	4	2	2	0	0	0	0	1	0	0	583.9844391	14
5	0	5	3	0	0	0	0	0	0	0	1	583.0317696	14
4	0	6	2	1	0	0	0	0	1	0	0	578.1157303	14
6	2	5	1	0	0	0	0	0	1	0	0	565.9665084	15
6	0	4	1	2	0	0	0	0	1	0	0	565.2362559	14
7	2	3	2	0	0	0	0	0	0	0	1	559.462593	15
6	2	4	2	0	0	0	0	0	1	0	0	551.9364059	15
6	0	4	3	0	0	0	0	0	0	0	1	547.2494326	14
4	0	6	2	1	0	0	0	0	0	1	0	546.5904666	14
6	2	5	1	0	0	0	0	0	0	1	0	538.8813363	15
6	2	4	2	0	0	0	0	0	0	1	0	537.2051197	15
7	2	3	1	1	0	0	0	0	1	0	0	533.5152665	15
5	0	5	1	2	0	0	0	0	0	1	0	514.3931404	14
5	0	4	2	2	0	0	0	0	0	1	0	512.8558566	14
5	0	4	3	1	0	0	0	0	1	0	0	512.2536658	14
5	2	6	1	0	0	0	0	0	1	0	0	498.4125179	15
5	0	4	3	1	0	0	0	0	0	1	0	491.804724	14
7	0	3	1	2	0	0	0	0	0	0	1	486.929405	14
6	0	4	1	2	0	0	0	0	0	1	0	483.5997215	14
7	0	3	2	1	0	0	0	0	1	0	0	483.5430703	14
9	1	2	0	1	0	0	0	0	0	0	1	481.6220083	14
10	0	2	0	0	0	0	0	0	0	0	1	480.481097	13
7	2	3	1	1	0	0	0	0	0	1	0	479.0032757	15
5	2	6	1	0	0	0	0	0	0	1	0	477.6440344	15
7	2	4	0	1	0	0	0	0	0	0	1	473.0797232	15
9	1	2	1	0	0	0	0	0	1	0	0	466.7367619	14
4	0	7	2	0	0	0	0	0	0	0	1	461.0405868	14
7	2	4	1	0	0	0	0	0	1	0	0	459.0378431	15
4	0	5	3	1	0	0	0	0	1	0	0	451.0893725	14
5	0	6	2	0	0	0	0	0	1	0	0	450.8428428	14
7	0	3	2	1	0	0	0	0	0	1	0	448.5194684	14
